Unnamed: 0,Titulo,Enlace,Escritor,imdbid,id,primaryTitle,originalTitle,isAdult,runtimeMinutes,genres,averageRating,numVotes,budget,gross,release_date,directors
199,"Bounty Hunter, The","https://imsdb.com/scripts/Bounty-Hunter,-The.html",['Sarah Thorp'],1038919,1038919,The Bounty Hunter,The Bounty Hunter,0,110,"Action,Comedy,Romance",5.5,132772,40000000,136333522,11/03/2010,Andy Tennant
205,Boyhood,https://imsdb.com/scripts/Boyhood.html,['Richard Linklater'],1065073,1065073,Boyhood,Boyhood,0,165,Drama,7.9,363686,4000000,48137666,19/01/2014,Richard Linklater
213,Bridesmaids,https://imsdb.com/scripts/Bridesmaids.html,['Annie Mumolo'],1478338,1478338,Bridesmaids,Bridesmaids,0,125,Comedy,6.8,304772,32500000,306442085,28/04/2011,Paul Feig
222,Buried,https://imsdb.com/scripts/Buried.html,['Chris Sparling'],1462758,1462758,Buried,Buried,0,95,"Drama,Mystery,Thriller",7,166578,3000000,19439764,23/01/2010,Rodrigo Cortés
223,Burlesque,https://imsdb.com/scripts/Burlesque.html,['Steven Antin'],1126591,1126591,Burlesque,Burlesque,0,119,"Drama,Music,Musical",6.4,91196,55000000,89520336,24/11/2010,Steve Antin
231,Cars 2,https://imsdb.com/scripts/Cars-2.html,['Ben Queen'],1216475,1216475,Cars 2,Cars 2,0,106,"Adventure,Animation,Comedy",6.2,209297,200000000,559852396,18/06/2011,"John Lasseter, Bradford Lewis"
242,"Change-Up, The","https://imsdb.com/scripts/Change-Up,-The.html","['Jon Lucas', 'Scott Moore']",1488555,1488555,The Change-Up,The Change-Up,0,112,"Comedy,Fantasy",6.3,192260,52000000,75450437,01/08/2011,David Dobkin
265,Coco,https://imsdb.com/scripts/Coco.html,"['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich', 'Adrian Molina']",2380307,2380307,Coco,Coco,0,105,"Adventure,Animation,Drama",8.4,562843,175000000,814337054,20/10/2017,"Lee Unkrich, Adrian Molina"
270,Colombiana,https://imsdb.com/scripts/Colombiana.html,"['Robert Mark Kamen', 'Luc Besson']",1657507,1657507,Colombiana,Colombiana,0,108,"Action,Drama,Thriller",6.4,105927,40000000,71508440,25/06/2011,Olivier Megaton
285,"Crazy, Stupid, Love","https://imsdb.com/scripts/Crazy,-Stupid,-Love.html",['Dan Fogelman'],1570728,1570728,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",0,118,"Comedy,Drama,Romance",7.4,548962,50000000,145079584,19/07/2011,"Glenn Ficarra, John Requa"
305,"Dark Knight Rises, The","https://imsdb.com/scripts/Dark-Knight-Rises,-The.html","['Jonathan Nolan', 'Christopher Nolan']",1345836,1345836,The Dark Knight Rises,The Dark Knight Rises,0,164,"Action,Drama,Thriller",8.4,1786040,250000000,1085067637,16/07/2012,Christopher Nolan
308,Date Night,https://imsdb.com/scripts/Date-Night.html,['Josh Klausner'],1279935,1279935,Date Night,Date Night,0,88,"Comedy,Crime,Romance",6.3,169572,55000000,152263880,06/04/2010,Shawn Levy
316,Deadpool,https://imsdb.com/scripts/Deadpool.html,"['Rhett Reese', 'Paul Wernick']",1431045,1431045,Deadpool,Deadpool,0,108,"Action,Comedy",8,1094693,58000000,782836791,21/01/2016,Tim Miller
318,Death at a Funeral,https://imsdb.com/scripts/Death-at-a-Funeral.html,"['Chris Rock', 'Aeysha Carr']",1321509,1321509,Death at a Funeral,Death at a Funeral,0,92,"Comedy,Drama",5.7,52843,21000000,49050886,12/04/2010,Neil LaBute
327,"Descendants, The","https://imsdb.com/scripts/Descendants,-The.html","['Alexander Payne', 'Nat Faxon', 'Jim Rash']",1033575,1033575,The Descendants,The Descendants,0,115,"Comedy,Drama",7.3,247740,20000000,177243185,02/09/2011,Alexander Payne
328,Despicable Me 2,https://imsdb.com/scripts/Despicable-Me-2.html,"['Cinco Paul', 'Ken Daurio']",1690953,1690953,Despicable Me 2,Despicable Me 2,0,98,"Adventure,Animation,Comedy",7.3,417584,76000000,970766005,16/06/2013,"Pierre Coffin, Chris Renaud"
338,Django Unchained,https://imsdb.com/scripts/Django-Unchained.html,['Quentin Tarantino'],1853728,1853728,Django Unchained,Django Unchained,0,165,"Drama,Western",8.5,1647010,100000000,426074373,11/12/2012,Quentin Tarantino
345,Drag Me to Hell,https://imsdb.com/scripts/Drag-Me-to-Hell.html,"['Ivan Raimi', 'Sam Raimi']",1127180,1127180,Drag Me to Hell,Drag Me to Hell,0,99,Horror,6.6,214225,30000000,90842646,15/03/2009,Sam Raimi
355,Eagle Eye,https://imsdb.com/scripts/Eagle-Eye.html,"['John Glenn', 'Travis Wright']",1059786,1059786,Eagle Eye,Eagle Eye,0,118,"Action,Mystery,Thriller",6.6,193260,80000000,178767383,16/09/2008,D.J. Caruso
357,Easy A,https://imsdb.com/scripts/Easy-A.html,['Bert V. Royal'],1282140,1282140,Easy A,Easy A,0,92,"Comedy,Drama,Romance",7,409068,8000000,75026327,11/09/2010,Will Gluck
394,"Fault in Our Stars, The","https://imsdb.com/scripts/Fault-in-Our-Stars,-The.html","['Scott Neustadter', 'Michael H. Weber']",2582846,2582846,The Fault in Our Stars,The Fault in Our Stars,0,126,"Drama,Romance",7.7,394247,12000000,307166834,16/05/2014,Josh Boone
409,Flight,https://imsdb.com/scripts/Flight.html,['John Gatins'],1907668,1907668,Flight,Flight,0,138,"Drama,Thriller",7.3,369964,31000000,161772375,14/10/2012,Robert Zemeckis
418,Frankenweenie,https://imsdb.com/scripts/Frankenweenie.html,['John August'],1142977,1142977,Frankenweenie,Frankenweenie,0,87,"Animation,Comedy,Drama",6.9,115165,39000000,84247681,20/09/2012,Tim Burton
432,Fruitvale Station,https://imsdb.com/scripts/Fruitvale-Station.html,['Ryan Coogler'],2334649,2334649,Fruitvale Station,Fruitvale Station,0,85,"Biography,Crime,Drama",7.5,84802,900000,17385830,19/01/2013,Ryan Coogler
434,Funny People,https://imsdb.com/scripts/Funny-People.html,['Judd Apatow'],1201167,1201167,Funny People,Funny People,0,146,"Comedy,Drama",6.3,122724,75000000,71585235,20/07/2009,Judd Apatow
436,G.I. Joe: The Rise of Cobra,https://imsdb.com/scripts/G.I.-Joe-The-Rise-of-Cobra.html,"['Stuart Beattie', 'John Lee Hancock', 'Brian Koppelman', 'David Levien']",1046173,1046173,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,0,118,"Action,Adventure,Sci-Fi",5.7,213535,175000000,302469017,27/07/2009,Stephen Sommers
439,Gamer,https://imsdb.com/scripts/Gamer.html,"['Mark Neveldine', 'Brian Taylor']",1034032,1034032,Gamer,Gamer,0,95,"Action,Sci-Fi,Thriller",5.7,138486,50000000,40828540,03/09/2009,"Mark Neveldine, Brian Taylor"
448,Get Out,https://imsdb.com/scripts/Get-Out.html,['Jordan Peele'],5052448,5052448,Get Out,Get Out,0,104,"Horror,Mystery,Thriller",7.8,668747,4500000,255745157,23/01/2017,Jordan Peele
458,"Girl with the Dragon Tattoo, The","https://imsdb.com/scripts/Girl-with-the-Dragon-Tattoo,-The.html",['Steven Zaillian'],1568346,1568346,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,0,158,"Crime,Drama,Mystery",7.8,483943,90000000,232617430,12/12/2011,David Fincher
478,Gravity,https://imsdb.com/scripts/Gravity.html,"['Alfonso Cuaron', 'Jonas Cuaron']",1454468,1454468,Gravity,Gravity,0,91,"Drama,Sci-Fi,Thriller",7.7,850937,100000000,773031583,28/08/2013,Alfonso Cuarón
479,"Great Gatsby, The","https://imsdb.com/scripts/Great-Gatsby,-The.html","['Baz Luhrmann', 'Craig Pearce']",1343092,1343092,The Great Gatsby,The Great Gatsby,0,143,"Drama,Romance",7.2,580234,105000000,353659851,01/05/2013,Baz Luhrmann
493,"Hangover, The","https://imsdb.com/scripts/Hangover,-The.html","['Jon Lucas', 'Scott Moore']",1119646,1119646,The Hangover,The Hangover,0,100,Comedy,7.7,825771,35000000,469328079,30/05/2009,Todd Phillips
503,He's Just Not That Into You,https://imsdb.com/scripts/He's-Just-Not-That-Into-You.html,"['Abby Kohn', 'Marc Silverstein']",1001508,1001508,He's Just Not That Into You,He's Just Not That Into You,0,129,"Comedy,Drama,Romance",6.4,179958,40000000,178866158,24/01/2009,Ken Kwapis
517,"Help, The","https://imsdb.com/scripts/Help,-The.html","['Tate Taylor', 'Kathryn Stockett']",1454029,1454029,The Help,The Help,0,146,Drama,8.1,482233,25000000,216639112,09/08/2011,Tate Taylor
522,Hesher,https://imsdb.com/scripts/Hesher.html,"['Spencer Susser', 'David Michod']",1403177,1403177,Hesher,Hesher,0,106,"Comedy,Drama",6.9,53698,7000000,449702,22/01/2010,Spencer Susser
532,Horrible Bosses,https://imsdb.com/scripts/Horrible-Bosses.html,['Michael Markowitz'],1499658,1499658,Horrible Bosses,Horrible Bosses,0,98,"Comedy,Crime",6.9,463703,35000000,209838559,30/06/2011,Seth Gordon
536,Hot Tub Time Machine,https://imsdb.com/scripts/Hot-Tub-Time-Machine.html,['Josh Heald'],1231587,1231587,Hot Tub Time Machine,Hot Tub Time Machine,0,99,"Comedy,Sci-Fi",6.4,183112,36000000,64780213,17/03/2010,Steve Pink
540,How to Train Your Dragon,https://imsdb.com/scripts/How-to-Train-Your-Dragon.html,"['Dean DeBlois', 'Chris Sanders']",1646971,1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,0,102,"Action,Adventure,Animation",7.8,355411,145000000,621537519,16/05/2014,Dean DeBlois
541,How to Train Your Dragon 2,https://imsdb.com/scripts/How-to-Train-Your-Dragon-2.html,"['Dean DeBlois', 'Cressida Cowell']",1646971,1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,0,102,"Action,Adventure,Animation",7.8,355411,145000000,621537519,16/05/2014,Dean DeBlois
547,I Am Number Four,https://imsdb.com/scripts/I-Am-Number-Four.html,"['Alfred Gough', 'Miles Millar']",1464540,1464540,I Am Number Four,I Am Number Four,0,111,"Action,Adventure,Sci-Fi",6.1,243954,60000000,149878437,09/02/2011,D.J. Caruso
549,I Love You Phillip Morris,https://imsdb.com/scripts/I-Love-You-Phillip-Morris.html,"['Glenn Ficarra', 'John Requa']",1045772,1045772,I Love You Phillip Morris,I Love You Phillip Morris,0,102,"Biography,Comedy,Crime",6.6,98804,13000000,20768906,18/01/2009,"Glenn Ficarra, John Requa"
550,I Spit on Your Grave,https://imsdb.com/scripts/I-Spit-on-Your-Grave.html,['Adam Rockoff'],1242432,1242432,I Spit on Your Grave,I Spit on Your Grave,0,108,"Horror,Thriller",6.2,90759,2000000,1278650,01/05/2010,Steven R. Monroe
555,"Ides of March, The","https://imsdb.com/scripts/Ides-of-March,-The.html","['George Clooney', 'Grant Heslov', 'Beau Willimon']",1124035,1124035,The Ides of March,The Ides of March,0,101,"Drama,Thriller",7.1,228282,12500000,76338111,31/08/2011,George Clooney
556,"Imaginarium of Doctor Parnassus, The","https://imsdb.com/scripts/Imaginarium-of-Doctor-Parnassus,-The.html","['Terry McKeown', 'Charles Gilliam']",1054606,1054606,The Imaginarium of Doctor Parnassus,The Imaginarium of Doctor Parnassus,0,123,"Adventure,Comedy,Fantasy",6.8,152782,30000000,61808775,22/05/2009,Terry Gilliam
559,Inception,https://imsdb.com/scripts/Inception.html,['Christopher Nolan'],1375666,1375666,Inception,Inception,0,148,"Action,Adventure,Sci-Fi",8.8,2484142,160000000,839030630,08/07/2010,Christopher Nolan
566,"Informant, The","https://imsdb.com/scripts/Informant,-The.html","['Scott Z. Burns', 'Kurt Eichenwald']",1130080,1130080,The Informant!,The Informant!,0,108,"Biography,Comedy,Crime",6.5,66623,22000000,41771168,07/09/2009,Steven Soderbergh
569,Insidious,https://imsdb.com/scripts/Insidious.html,['Leigh Whannell'],2226417,2226417,Insidious: Chapter 2,Insidious: Chapter 2,0,106,"Horror,Mystery,Thriller",6.5,185322,5000000,161919318,13/09/2013,James Wan
574,Into the Woods,https://imsdb.com/scripts/Into-the-Woods.html,"['James Lapine', 'Stephen Sondheim']",2180411,2180411,Into the Woods,Into the Woods,0,125,"Adventure,Comedy,Drama",5.9,146154,50000000,212902372,08/12/2014,Rob Marshall
577,"Invention of Lying, The","https://imsdb.com/scripts/Invention-of-Lying,-The.html","['Ricky Gervais', 'Matthew Robinson']",1058017,1058017,The Invention of Lying,The Invention of Lying,0,100,"Comedy,Fantasy,Romance",6.3,146944,18500000,32406507,14/09/2009,"Ricky Gervais, Matthew Robinson"
579,"Iron Lady, The","https://imsdb.com/scripts/Iron-Lady,-The.html",['Abi Morgan'],1007029,1007029,The Iron Lady,The Iron Lady,0,105,"Biography,Drama",6.4,112571,13000000,115890699,26/12/2011,Phyllida Lloyd
587,It's Complicated,https://imsdb.com/scripts/It's-Complicated.html,['Nancy Meyers'],1230414,1230414,It's Complicated,It's Complicated,0,121,"Comedy,Drama,Romance",6.5,96989,85000000,219103655,10/12/2009,Nancy Meyers
598,Jennifer's Body,https://imsdb.com/scripts/Jennifer's-Body.html,['Diablo Cody'],1131734,1131734,Jennifer's Body,Jennifer's Body,0,102,"Comedy,Horror",5.5,146826,16000000,31556061,10/09/2009,Karyn Kusama
604,John Wick,https://imsdb.com/scripts/John-Wick.html,['Derek Kolstad'],2911666,2911666,John Wick,John Wick,0,101,"Action,Crime,Thriller",7.4,718700,20000000,86081850,19/09/2014,"Chad Stahelski, David Leitch"
605,Jojo Rabbit,https://imsdb.com/scripts/Jojo-Rabbit.html,"['Christine Leunens', 'Taika Waititi']",2584384,2584384,Jojo Rabbit,Jojo Rabbit,0,108,"Comedy,Drama,War",7.9,425296,14000000,93553698,08/09/2019,Taika Waititi
606,Joker,https://imsdb.com/scripts/Joker.html,"['Todd Phillips', 'Scott Silver']",7286456,7286456,Joker,Joker,0,122,"Crime,Drama,Thriller",8.4,1417996,55000000,1078958282,31/08/2019,Todd Phillips
623,"King's Speech, The","https://imsdb.com/scripts/King's-Speech,-The.html",['David Seidler'],1504320,1504320,The King's Speech,The King's Speech,0,118,"Biography,Drama,History",8,699659,15000000,484068861,06/09/2010,Tom Hooper
631,La La Land,https://imsdb.com/scripts/La-La-Land.html,['Damien Chazelle'],3783958,3783958,La La Land,La La Land,0,128,"Comedy,Drama,Music",8,640317,30000000,471981681,31/08/2016,Damien Chazelle
637,Larry Crowne,https://imsdb.com/scripts/Larry-Crowne.html,['Tom Hanks'],1583420,1583420,Larry Crowne,Larry Crowne,0,98,"Comedy,Drama,Romance",6.1,70008,30000000,75055070,27/06/2011,Tom Hanks
645,Law Abiding Citizen,https://imsdb.com/scripts/Law-Abiding-Citizen.html,"['Frank Darabont', 'Kurt Wimmer']",1197624,1197624,Law Abiding Citizen,Law Abiding Citizen,0,109,"Action,Crime,Drama",7.4,312465,50000000,127944208,23/09/2009,F. Gary Gray
650,Legion,https://imsdb.com/scripts/Legion.html,"['Peter Schink', 'Scott Stewart']",1038686,1038686,Legion,Legion,0,100,"Action,Fantasy,Horror",5.3,109767,26000000,67918658,21/01/2010,Scott Stewart
